IUPAC,image_url,descr
Methane,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Methane-2D-dimensions.svg/170px-Methane-2D-dimensions.svg.png,"Methane (US: /ˈmɛθeɪn/ METH-ayn, UK: /ˈmiːθeɪn/ MEE-thayn) is a chemical compound with the chemical formula CH4 (one carbon atom bonded to four hydrogen atoms). It is a group-14 hydride, the simplest alkane, and the main constituent of natural gas. The abundance of methane on Earth makes it an economically attractive fuel, although capturing and storing it is hard because it is a gas at standard temperature and pressure."
Ethanol,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ethanol-2D-flat.svg/110px-Ethanol-2D-flat.svg.png,"Ethanol (also called ethyl alcohol, grain alcohol, drinking alcohol, or simply alcohol) is an organic compound with the chemical formula CH3CH2OH. It is an alcohol, with its formula also written as C2H5OH, C2H6O or EtOH, where Et stands for ethyl. Ethanol is a volatile, flammable, colorless liquid with a characteristic wine-like odor and pungent taste.[13][14] As a psychoactive depressant, it is the active ingredient in alcoholic drinks, and the second most consumed drug globally behind caffeine.[15]"
Acetic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Acetic-acid-2D-skeletal.svg/110px-Acetic-acid-2D-skeletal.svg.png,"Acetic acid /əˈsiːtɪk/, systematically named ethanoic acid /ˌɛθəˈnoʊɪk/, is an acidic, colourless liquid and organic compound with the chemical formula CH3COOH (also written as CH3CO2H, C2H4O2, or HC2H3O2). Vinegar is at least 4% acetic acid by volume, making acetic acid the main component of vinegar apart from water. It has been used, as a component of vinegar, throughout history from at least the third century BC."
Benzene,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Benzene-3D-vdW.png/150px-Benzene-3D-vdW.png,"Benzene is an organic chemical compound with the molecular formula C6H6. The benzene molecule is composed of six carbon atoms joined in a planar hexagonal ring with one hydrogen atom attached to each. Because it contains only carbon and hydrogen atoms, benzene is classed as a hydrocarbon."
Phenol,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Phenol2.svg/80px-Phenol2.svg.png,"Phenol (also known as carbolic acid, phenolic acid, or benzenol) is an aromatic organic compound with the molecular formula C6H5OH.[5] It is a white crystalline solid that is volatile. The molecule consists of a phenyl group (−C6H5) bonded to a hydroxy group (−OH). Mildly acidic, it requires careful handling because it can cause chemical burns.[5]"
Acetone,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Acetone-CRC-MW-ED-dimensions-2D-Vector.svg/136px-Acetone-CRC-MW-ED-dimensions-2D-Vector.svg.png,"Acetone (2-propanone or dimethyl ketone) is an organic compound with the formula (CH3)2CO.[22] It is the simplest and smallest ketone (>C=O).  It is a colorless, highly volatile, and flammable liquid with a characteristic pungent odour, very reminiscent of the smell of pear drops."
Toluene,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Toluol.svg/80px-Toluol.svg.png,"Toluene (/ˈtɒl.juiːn/), also known as toluol (/ˈtɒl.ju.ɒl, -ɔːl, -oʊl/), is a substituted aromatic hydrocarbon[15] with the chemical formula C6H5CH3, often abbreviated as PhCH3, where Ph stands for phenyl group. It is a colorless, water-insoluble liquid with the odor associated with paint thinners. It is a mono-substituted benzene derivative, consisting of a methyl group (CH3) attached to a phenyl group by a single bond. As such, its systematic IUPAC name is methylbenzene. Toluene is predominantly used as an industrial feedstock and a solvent."
Ethylene glycol,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ethylene_glycol.svg/220px-Ethylene_glycol.svg.png,External SDS 2
Aniline,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Structural_formula_of_aniline.svg/110px-Structural_formula_of_aniline.svg.png,"Aniline (from Portuguese  anil 'indigo shrub', and -ine indicating a derived substance)[6] is an organic compound with the formula C6H5NH2. Consisting of a phenyl group (−C6H5) attached to an amino group (−NH2), aniline is the simplest aromatic amine. It is an industrially significant commodity chemical, as well as a versatile starting material for fine chemical synthesis. Its main use is in the manufacture of precursors to polyurethane, dyes, and other industrial chemicals. Like most volatile amines, it has the odor of rotten fish. It ignites readily, burning with a smoky flame characteristic of aromatic compounds.[7] It is toxic to humans."
Propane,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Propane-2D-Skeletal.svg/110px-Propane-2D-Skeletal.svg.png,"Propane (/ˈproʊpeɪn/) is a three-carbon alkane with the molecular formula C3H8. It is a gas at standard temperature and pressure, but compressible to a transportable liquid. A by-product of natural gas processing and petroleum refining, it is commonly used as a fuel in domestic and industrial applications and in low-emissions public transportation. Discovered in 1857 by the French chemist Marcellin Berthelot, it became commercially available in the US by 1911. Propane is one of a group of liquefied petroleum gases (LP gases). The others include propylene, butane, butylene, butadiene, isobutylene, and mixtures thereof. Propane has lower volumetric energy density, but higher gravimetric energy density and burns more cleanly than gasoline and coal.[6]"
Butane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Butan_Lewis.svg/130px-Butan_Lewis.svg.png,"Butane (/ˈbjuːteɪn/) or n-butane is an alkane with the formula C4H10. Butane is a highly flammable, colorless, easily liquefied gas that quickly vaporizes at room temperature and pressure. The name butane comes from the root but- (from butyric acid, named after the Greek word for butter) and the suffix -ane. It was discovered in crude petroleum in 1864 by Edmund Ronalds, who was the first to describe its properties,[6][7] and commercialized by Walter O. Snelling in the early 1910s."
Cyclohexane,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Cyclohexane-2D-skeletal.svg/110px-Cyclohexane-2D-skeletal.svg.png,"Cyclohexane is a cycloalkane with the molecular formula C6H12. Cyclohexane is non-polar. Cyclohexane is a colourless, flammable liquid with a distinctive detergent-like odor, reminiscent of cleaning products (in which it is sometimes used). Cyclohexane is mainly used for the industrial production of adipic acid and caprolactam, which are precursors to nylon.[5]"
Methanol,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Methanol_Lewis.svg/110px-Methanol_Lewis.svg.png,"Moderately toxic for small animals – Highly toxic to large animals and humans (in high concentrations) – May be fatal/lethal or cause blindness and damage to the liver, kidneys, and heart if swallowed – Toxicity effects from repeated over exposure have an accumulative effect on the central nervous system, especially the optic nerve – Symptoms may be delayed, become severe after 12 to 18 hours, and linger for several days after exposure[9]"
Formic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Formic_acid.svg/110px-Formic_acid.svg.png,"Formic acid (from Latin  formica 'ant'), systematically named methanoic acid, is the simplest carboxylic acid, and has the chemical formula HCOOH and structure H−C(=O)−O−H. It is an important intermediate in chemical synthesis and occurs naturally, most notably in some ants. Esters, salts and the anion derived from formic acid are called formates. Industrially, formic acid is produced from methanol.[5]"
Acetylene,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Acetylene-CRC-IR-dimensions-2D.svg/150px-Acetylene-CRC-IR-dimensions-2D.svg.png,"Acetylene (systematic name: ethyne) is the chemical compound with the formula C2H2 and structure H−C≡C−H. It is a hydrocarbon and the simplest alkyne.[7] This colorless gas is widely used as a fuel and a chemical building block. It is unstable in its pure form and thus is usually handled as a solution.[8] Pure acetylene is odorless, but commercial grades usually have a marked odor due to impurities such as divinyl sulfide and phosphine.[8][9]"
Nitrobenzene,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Nitrobenzol.svg/80px-Nitrobenzol.svg.png,"Nitrobenzene is an aromatic nitro compound and the simplest of the nitrobenzenes, with the chemical formula C6H5NO2.  It is a water-insoluble pale yellow oil with an almond-like odor.  It freezes to give greenish-yellow crystals.  It is produced on a large scale from benzene as a precursor to aniline.  In the laboratory, it is occasionally used as a solvent, especially for electrophilic reagents."
Ethylene,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Ethylene-CRC-MW-dimensions-2D-Vector.svg/160px-Ethylene-CRC-MW-dimensions-2D-Vector.svg.png,"Ethylene (IUPAC name: ethene) is a hydrocarbon which has the formula C2H4 or H2C=CH2. It is a colourless, flammable gas with a faint ""sweet and musky"" odour when pure.[7] It is the simplest alkene (a hydrocarbon with carbon–carbon double bonds)."
Isopropanol,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/2-Propanol.svg/110px-2-Propanol.svg.png,"Isopropyl alcohol (IUPAC name propan-2-ol and also called isopropanol or 2-propanol) is a colorless, flammable organic compound with a pungent alcoholic odor.[9]"
Dimethyl ether,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Dimethyl_ether_Structural_Formulae.svg/110px-Dimethyl_ether_Structural_Formulae.svg.png,Polyethylene glycol
Ethyl acetate,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Ethyl-acetate-2D-skeletal.svg/200px-Ethyl-acetate-2D-skeletal.svg.png,"Ethyl acetate (systematically ethyl ethanoate, commonly abbreviated EtOAc, ETAC or EA) is the organic compound with the formula CH3CO2CH2CH3, simplified to C4H8O2. This colorless liquid has a characteristic sweet smell (similar to pear drops) and is used in glues, nail polish removers, and the decaffeination process of tea and coffee. Ethyl acetate is the ester of ethanol and acetic acid; it is manufactured on a large scale for use as a solvent.[5]"
Hexane,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Hexane-2D-Skeletal.svg/160px-Hexane-2D-Skeletal.svg.png,"Hexane (/ˈhɛkseɪn/) or n-hexane is an organic compound, a straight-chain alkane with six carbon atoms and the molecular formula C6H14.[7]"
Pyridine,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Pyridine-2D-full.svg/110px-Pyridine-2D-full.svg.png,"Pyridine is a basic heterocyclic organic compound with the chemical formula C5H5N. It is structurally related to benzene, with one methine group (=CH−) replaced by a nitrogen atom (=N−).  It is a highly flammable, weakly alkaline, water-miscible liquid with a distinctive, unpleasant fish-like smell. Pyridine is colorless, but older or impure samples can appear yellow, due to the formation of extended, unsaturated polymeric chains, which show significant electrical conductivity.[page needed][17]  The pyridine ring occurs in many important compounds, including agrochemicals, pharmaceuticals, and vitamins. Historically, pyridine was produced from coal tar. As of 2016, it is synthesized on the scale of about 20,000 tons per year worldwide.[2]"
Tetrahydrofuran,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Structural_formula_of_tetrahydrofuran.svg/90px-Structural_formula_of_tetrahydrofuran.svg.png,"Tetrahydrofuran (THF), or oxolane, is an organic compound with the formula (CH2)4O. The compound is classified as heterocyclic compound, specifically a cyclic ether.  It is a colorless, water-miscible organic liquid with low viscosity.  It is mainly used as a precursor to polymers.[8]  Being polar and having a wide liquid range, THF is a versatile solvent. It is an isomer of another solvent, butanone."
Benzaldehyde,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Benzaldehyde.png/110px-Benzaldehyde.png,Benzaldehyde (C6H5CHO) is an organic compound consisting of a benzene ring with a formyl substituent. It is among the simplest aromatic aldehydes and one of the most industrially useful.
Phenylacetylene,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Phenylacetylene.svg/220px-Phenylacetylene.svg.png,"Phenylacetylene is an alkyne hydrocarbon containing a phenyl group. It exists as a colorless, viscous liquid. In research, it is sometimes used as an analog for acetylene; being a liquid, it is easier to handle than acetylene gas."
Styrene,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Styrene.svg/150px-Styrene.svg.png,"Styrene is an organic compound with the chemical formula C6H5CH=CH2. Its structure consists of a vinyl group as substituent on benzene. Styrene is a colorless, oily liquid, although aged samples can appear yellowish. The compound evaporates easily and has a sweet smell, although high concentrations have a less pleasant odor.[vague] Styrene is the precursor to polystyrene and several copolymers, and is typically made from benzene for this purpose. Approximately 25 million tonnes of styrene were produced in 2010,[6] increasing to around 35 million tonnes by 2018."
Furan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Furan-2D-full.svg/110px-Furan-2D-full.svg.png,"Furan is a heterocyclic organic compound, consisting of a five-membered aromatic ring with four carbon atoms and one oxygen atom.  Chemical compounds containing such rings are also referred to as furans."
Chloroform,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Chloroform_displayed.svg/110px-Chloroform_displayed.svg.png,"Chloroform,[10] or trichloromethane (often abbreviated as TCM), is an organochloride with the formula CHCl3 and a common solvent. It is a very volatile, colorless, strong-smelling, dense liquid produced on a large scale as a precursor to refrigerants and PTFE.[11] Chloroform is a trihalomethane that serves as a powerful general anesthetic, euphoriant, anxiolytic, and sedative when inhaled or ingested, for this reason, Chloroform was used as an inhalational anesthetic between the 19th century and the first half of the 20th century.[12][13] It is miscible with many solvents but it is only very slightly soluble in water (only 8 g/L at 20°C)."
Bromoform,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bromoform-2D-skeletal.png/110px-Bromoform-2D-skeletal.png,"Bromoform is an organic compound with the chemical formula CHBr3. It is a colorless liquid at room temperature, with a high refractive index and a very high density. Its sweet odor is similar to that of chloroform. It is one of the four haloforms, the others being fluoroform, chloroform, and iodoform. It is a brominated organic solvent. Currently its main use is as a laboratory reagent. It is very slightly soluble in water (one part bromoform in 800 parts water) and is miscible with alcohol, benzene, chloroform, ether, petroleum ether, acetone and oils."
Iodoform,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Iodoform.svg/100px-Iodoform.svg.png,"Iodoform (also known as triiodomethane) is the organoiodine compound with the chemical formula CHI3. It is a pale yellow, crystalline, volatile substance, with a penetrating and distinctive odor (in older chemistry texts, the smell is sometimes referred to as that of hospitals, where the compound is still commonly used) and, analogous to chloroform, sweetish taste. It is occasionally used as a disinfectant."
Ethylamine,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/EtNH2.svg/220px-EtNH2.svg.png,"Ethylamine, also known as ethanamine, is an organic compound with the formula CH3CH2NH2.  This colourless gas has a strong ammonia-like odor.  It condenses just below room temperature to a liquid miscible with virtually all solvents. It is a nucleophilic base, as is typical for amines.  Ethylamine is widely used in chemical industry and organic synthesis.[4]"
Acetamide,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Acetamide_skeletal.svg/110px-Acetamide_skeletal.svg.png,"Acetamide (systematic name: ethanamide) is an organic compound with the formula CH3CONH2. It is derived from acetic acid.  It finds some use as a plasticizer and as an industrial solvent.[5] The related compound N,N-dimethylacetamide (DMA) is more widely used, but it is not prepared from acetamide. Acetamide can be considered an intermediate between acetone, which has two methyl (CH3) groups either side of the carbonyl (CO), and urea which has two amide (NH2) groups in those locations. Acetamide is also a naturally occurring mineral[6] with the IMA symbol: Ace.[7]"
Oxalic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Oxals%C3%A4ure2.svg/140px-Oxals%C3%A4ure2.svg.png,"Oxalic acid is an organic acid with the systematic name ethanedioic acid and chemical formula HO−C(=O)−C(=O)−OH, also written as (COOH)2 or (CO2H)2 or H2C2O4. It is the simplest dicarboxylic acid. It is a white crystalline solid that forms a colorless solution in water. Its name comes from the fact that early investigators isolated oxalic acid from flowering plants of the genus Oxalis, commonly known as wood-sorrels. It occurs naturally in many foods. Excessive ingestion of oxalic acid or prolonged skin contact can be dangerous."
Methylamine,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/MeNH2.svg/200px-MeNH2.svg.png,"Methylamine is an organic compound with a formula of CH3NH2. This colorless gas is a derivative of ammonia, but with one hydrogen atom being replaced by a methyl group. It is the simplest primary amine."
Trimethylamine,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Me3N_showing_pyramidal-ness.svg/200px-Me3N_showing_pyramidal-ness.svg.png,"Trimethylamine (TMA) is an organic compound with the formula N(CH3)3. It is a trimethylated derivative of ammonia. TMA is widely used in industry.[5][6] At higher concentrations it has an ammonia-like odor, and can cause necrosis of mucous membranes on contact.[7] At lower concentrations, it has a ""fishy"" odor, the odor associated with rotting fish."
Phenylamine,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Structural_formula_of_aniline.svg/110px-Structural_formula_of_aniline.svg.png,"Aniline (from Portuguese  anil 'indigo shrub', and -ine indicating a derived substance)[6] is an organic compound with the formula C6H5NH2. Consisting of a phenyl group (−C6H5) attached to an amino group (−NH2), aniline is the simplest aromatic amine. It is an industrially significant commodity chemical, as well as a versatile starting material for fine chemical synthesis. Its main use is in the manufacture of precursors to polyurethane, dyes, and other industrial chemicals. Like most volatile amines, it has the odor of rotten fish. It ignites readily, burning with a smoky flame characteristic of aromatic compounds.[7] It is toxic to humans."
Cyclopentane,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Cyclopentane_v2.svg/100px-Cyclopentane_v2.svg.png,"Cyclopentane (also called C pentane) is a highly flammable alicyclic hydrocarbon with chemical formula C5H10 and CAS number 287-92-3, consisting of a ring of five carbon atoms each bonded with two hydrogen atoms above and below the plane. It occurs as a colorless liquid with a petrol-like odor. Its freezing point is −94 °C and its boiling point is 49 °C. Cyclopentane is in the class of cycloalkanes, being alkanes that have one or more carbon rings. It is formed by cracking cyclohexane in the presence of alumina at a high temperature and pressure."
Hexanoic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Caproic_acid_acsv.svg/220px-Caproic_acid_acsv.svg.png,"Caproic acid, also known as hexanoic acid, is the carboxylic acid derived from hexane with the chemical formula CH3(CH2)4COOH. It is a colorless oily liquid with an odor that is fatty, cheesy, waxy, and like that of goats[1] or other barnyard animals.  It is a fatty acid found naturally in various animal fats and oils, and is one of the chemicals that gives the decomposing fleshy seed coat of the ginkgo its characteristic unpleasant odor.[3] It is also one of the components of vanilla and cheese. The primary use of caproic acid is in the manufacture of its esters for use as artificial flavors, and in the manufacture of hexyl derivatives, such as hexylphenols.[1] Salts and esters of caproic acid are known as caproates or hexanoates. Several progestin medications are caproate esters, such as hydroxyprogesterone caproate and gestonorone caproate."
Benzyl alcohol,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Alkohol_benzylowy.svg/150px-Alkohol_benzylowy.svg.png,"Benzyl alcohol (also known as α-cresol) is an aromatic alcohol with the formula C6H5CH2OH. The benzyl group is often abbreviated ""Bn"" (not to be confused with ""Bz"" which is used for benzoyl), thus benzyl alcohol is denoted as BnOH.  Benzyl alcohol is a colorless liquid with a mild pleasant aromatic odor. It is a useful as a solvent for its polarity, low toxicity, and low vapor pressure. Benzyl alcohol has moderate solubility in water (4 g/100 mL) and is miscible in alcohols and diethyl ether. The anion produced by deprotonation of the alcohol group is known as benzylate or benzyloxide."
Diethyl ether,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Diethyl_ether_chemical_structure.svg/220px-Diethyl_ether_chemical_structure.svg.png,"Diethyl ether, or simply ether, is an organic compound with the chemical formula (CH3CH2)2O, sometimes abbreviated as Et2O.[a] It is a colourless, highly volatile, sweet-smelling (""ethereal odour""), extremely flammable liquid. It belongs to the ether class of organic compounds. It is a common solvent. It was formerly used as a general anesthetic.[8]"
Naphthalene,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Naphthalene_numbering.svg/100px-Naphthalene_numbering.svg.png,"Naphthalene is an organic compound with formula C10H8. It is the simplest polycyclic aromatic hydrocarbon, and is a white crystalline solid with a characteristic odor that is detectable at concentrations as low as 0.08 ppm by mass.[15] As an aromatic hydrocarbon, naphthalene's structure consists of a fused pair of benzene rings. It is the main ingredient of traditional mothballs."
Phenanthrene,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Phenanthrene-numbering.svg/180px-Phenanthrene-numbering.svg.png,"Phenanthrene is a polycyclic aromatic hydrocarbon (PAH) with formula C14H10, consisting of three fused benzene rings. It is a colorless, crystal-like solid, but can also appear yellow. Phenanthrene is used to make dyes, plastics, pesticides, explosives, and drugs. It has also been used to make bile acids, cholesterol and steroids.[3]"
Anthracene,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Anthracene-numbering.svg/220px-Anthracene-numbering.svg.png,"Anthracene is a solid polycyclic aromatic hydrocarbon (PAH) of formula C14H10, consisting of three fused benzene rings. It is a component of coal tar. Anthracene is used in the production of the red dye alizarin and other dyes. Anthracene is colorless but exhibits a blue (400–500 nm peak) fluorescence under ultraviolet radiation.[13]"
Pyrene,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Pyrene.svg/190px-Pyrene.svg.png,(yellow impurities are often found at trace levels in many samples).
Coronene,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Coronene_200.svg/220px-Coronene_200.svg.png,"Coronene (also known as superbenzene and cyclobenzene) is a polycyclic aromatic hydrocarbon (PAH) comprising seven peri-fused benzene rings.[10] Its chemical formula is C24H12. It is a yellow material that dissolves in common solvents including benzene, toluene, and dichloromethane. Its solutions emit blue light fluorescence under UV light. It has been used as a solvent probe, similar to pyrene."
Caffeine,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Caffeine_structure.svg/187px-Caffeine_structure.svg.png,"Caffeine is a central nervous system (CNS) stimulant of the methylxanthine class.[9] It is mainly used as a eugeroic (wakefulness promoter) or as a mild cognitive enhancer to increase alertness and attentional performance.[10][11] Caffeine acts by blocking binding of adenosine to the adenosine A1 receptor, which enhances release of the neurotransmitter acetylcholine.[12] Caffeine has a three-dimensional structure similar to that of adenosine, which allows it to bind and block its receptors.[13] Caffeine also increases cyclic AMP levels through nonselective inhibition of phosphodiesterase.[14]"
Theobromine,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Theobromine.svg/135px-Theobromine.svg.png,"Theobromine, also known as xantheose, is the principal alkaloid of Theobroma cacao (cacao plant).[4] Theobromine is slightly water-soluble (330 mg/L) with a bitter taste.[5] In industry, theobromine is used as an additive and precursor to some cosmetics.[4] It is found in chocolate, as well as in a number of other foods, including tea (Camellia sinensis), some American hollies (yaupon and guayusa) and the kola nut. It is a white or colourless solid, but commercial samples can appear yellowish.[5]"
Nicotine,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Nikotin_-_Nicotine.svg/220px-Nikotin_-_Nicotine.svg.png,[7]
Morphine,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Morphin_-_Morphine.svg/180px-Morphin_-_Morphine.svg.png,"Morphine, formerly also called morphia,[14] is a strong opiate that is found naturally in opium, a dark brown resin produced by drying the latex of opium poppies (Papaver somniferum). It is mainly used as an analgesic (pain medication). There are numerous methods used to administer morphine: oral; sublingual; via inhalation; injection into a muscle, injection under the skin, or injection into the spinal cord area; transdermal; or via rectal suppository.[12][15] It acts directly on the central nervous system (CNS) to induce analgesia and alter perception and emotional response to pain. Physical and psychological dependence and tolerance may develop with repeated administration.[12] It can be taken for both acute pain and chronic pain and is frequently used for pain from myocardial infarction, kidney stones, and during labor.[12] Its maximum effect is reached after about 20 minutes when administered intravenously and 60 minutes when administered by mouth, while the duration of its effect is 3–7 hours.[12][13] Long-acting formulations of morphine are available as MS-Contin, Kadian, and other brand names as well as generically.[12]"
Codeine,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Codein_-_Codeine.svg/220px-Codein_-_Codeine.svg.png,"Codeine is an opiate and prodrug of morphine mainly used to treat pain, coughing, and diarrhea. It is also commonly used as a recreational drug. It is found naturally in the sap of the opium poppy, Papaver somniferum.[4][6] It is typically used to treat mild to moderate degrees of pain.[4][failed verification] Greater benefit may occur when combined with paracetamol (acetaminophen) or a nonsteroidal anti-inflammatory drug (NSAID) such as aspirin or ibuprofen.[4] Evidence does not support its use for acute cough suppression in children.[7][8] In Europe, it is not recommended as a cough medicine in those under 12 years of age.[4] It is generally taken by mouth.[4] It typically starts working after half an hour, with maximum effect at two hours.[4] Its effects last for about four to six hours. Codeine exhibits abuse potential similar to other opioid medications, including a risk of habituation and overdose.[4]"
